Material_ID,Material_Type,Source_Process,Quantity_kg,Purity_%,Contaminants,Energy_Content_MJ,Toxicity_Score,Carbon_Footprint_kgCO2,Recyclable,Suggested_Reuse
M107,Steel Slag,Gold Mining,2474,92.3,"Oil Residue, Lead, Mercury",235.6,6.4,471.6,Yes,Use in cement production
M108,Lead Slag,Furnace Operation,2282,27.29,"Sodium Hydroxide, Chlorides",233.0,3.1,887.8,No,Safe disposal required
M109,Steel Slag,Alumina Refining,1867,87.04,"Mercury, Paint, Sulfates",238.3,7.6,508.9,Yes,Use in cement production
M110,Copper Slag,Steel Manufacturing,1592,19.42,"Cyanide, Silicates",126.3,6.2,289.0,No,Safe disposal required
M111,Zinc Ash,Alumina Refining,1037,27.1,"Ammonia, Cadmium, Cyanide",324.6,8.4,393.6,No,Safe disposal required
M112,Chromite Waste,Electroplating,2513,84.16,Arsenic,124.3,6.0,869.0,Yes,Use in cement production
M113,Zinc Ash,Ore Processing,2189,84.04,"Chlorides, Lead",208.5,6.8,664.3,Yes,Solidify for construction fill
M114,Lead Slag,Furnace Operation,2416,67.66,Ammonia,375.7,8.4,944.2,Yes,Detoxification for backfill use
M115,Chromite Waste,Alumina Refining,625,41.67,"Sulfates, Lead",529.5,8.2,179.4,No,Safe disposal required
M116,Copper Slag,Gold Mining,1024,50.25,Arsenic,391.3,5.0,306.3,Yes,Solidify for construction fill
M117,Bauxite Residue,Electroplating,1741,79.31,Cadmium,61.5,4.5,239.3,Yes,Use in cement production
M118,Lead Slag,Casting,2365,92.53,"Cyanide, Sulfates",594.9,8.5,695.6,No,Safe disposal required
M119,Steel Slag,Ore Processing,1446,73.33,"Ammonia, Cyanide",457.7,3.3,443.1,No,Safe disposal required
M120,Tailings,Smelting,1233,62.57,"Plastic, Lead",161.3,3.2,426.2,Yes,Use in road construction
M121,Copper Slag,Furnace Operation,761,11.52,Plastic,233.5,5.5,302.9,No,Safe disposal required
M122,Nickel Dust,Casting,1928,97.83,"Oil Residue, Cadmium, Chromium",283.5,7.7,555.7,Yes,Detoxification for backfill use
M123,Iron Scrap,Furnace Operation,2784,62.24,Chlorides,166.7,7.5,602.3,Yes,Detoxification for backfill use
M124,Lead Slag,Ore Processing,707,97.53,"Chromium, Silicates, Lead",154.8,7.8,160.9,Yes,Reuse in battery production
M125,Aluminium Scrap,Furnace Operation,140,22.77,"Sodium Hydroxide, Paint, Arsenic",220.7,8.6,45.6,No,Safe disposal required
M126,Bauxite Residue,Furnace Operation,1839,58.52,Silicates,50.4,8.1,622.4,Yes,Reprocess to recover zinc
M127,Iron Scrap,Ore Processing,1803,10.92,"Lead, Silicates, Ammonia",328.6,8.6,392.6,No,Safe disposal required
M128,Zinc Ash,Battery Recycling,2502,85.72,"Oil Residue, Cadmium, Lead",376.0,9.2,532.7,Yes,Use in cement production
M129,Chromite Waste,Alumina Refining,672,65.49,"Chlorides, Paint, Ammonia",330.2,5.5,123.4,Yes,Reprocess to recover lead
M130,Copper Slag,Ore Processing,1179,47.66,"Fluoride, Silicates",411.5,8.0,175.0,No,Safe disposal required
M131,Nickel Dust,Casting,1024,24.11,Fluoride,393.4,9.4,151.8,No,Safe disposal required
M132,Chromite Waste,Ore Processing,2367,58.59,"Chlorides, Arsenic, Fluoride",450.6,7.0,527.5,Yes,Reuse in battery production
M133,Chromite Waste,Gold Mining,1134,67.45,Lead,361.9,3.9,189.4,Yes,Detoxification for backfill use
M134,Bauxite Residue,Ore Processing,2825,28.94,"Fluoride, Plastic",154.1,6.1,628.4,No,Safe disposal required
M135,Lead Slag,Casting,2132,92.45,Sodium Hydroxide,137.9,4.5,559.6,Yes,Reprocess to recover lead
M136,Copper Slag,Ore Processing,1280,26.55,"Fluoride, Ammonia, Cadmium",474.0,6.4,384.2,No,Safe disposal required
M137,Bauxite Residue,Alumina Refining,2283,67.43,"Silicates, Arsenic, Oil Residue",96.1,3.1,569.4,Yes,Detoxification for backfill use
M138,Bauxite Residue,Electroplating,2386,32.08,"Silicates, Sulfates, Mercury",56.9,4.9,271.9,No,Safe disposal required
M139,Chromite Waste,Smelting,507,24.53,Ammonia,576.4,3.9,66.9,No,Safe disposal required
M140,Chromite Waste,Electroplating,2619,40.23,"Fluoride, Cyanide",404.0,6.0,359.4,No,Safe disposal required
M141,Zinc Ash,Gold Mining,2108,85.25,Mercury,292.7,5.6,649.6,Yes,Remelt to make sheet metal
M142,Bauxite Residue,Electroplating,1679,52.51,"Arsenic, Lead, Chlorides",118.2,4.2,258.4,Yes,Detoxification for backfill use
M143,Zinc Ash,Casting,776,59.52,Oil Residue,529.3,8.9,204.8,Yes,Safe landfill with encapsulation
M144,Steel Slag,Furnace Operation,2006,65.94,"Arsenic, Cyanide",265.2,5.2,637.3,No,Safe disposal required
M145,Bauxite Residue,Galvanizing,2484,34.09,Arsenic,540.9,3.0,566.5,No,Safe disposal required
M146,Iron Scrap,Steel Manufacturing,1054,55.63,Cyanide,459.2,8.9,256.4,No,Safe disposal required
M147,Bauxite Residue,Battery Recycling,988,34.61,Mercury,259.7,4.6,237.0,No,Safe disposal required
M148,Chromite Waste,Furnace Operation,2573,98.51,Oil Residue,374.7,5.1,362.8,Yes,Extract copper for cables
M149,Zinc Ash,Smelting,1736,82.45,Plastic,245.6,3.1,281.8,Yes,Use in cement production
M150,Steel Slag,Furnace Operation,195,20.82,Lead,406.1,5.8,65.1,No,Safe disposal required
